mission,direction,robinson,fontenay_aux_roses,sceaux,saint_remy_les_chevreuse,courcelle_sur_yvette,gif_sur_yvette,la_hacquiniere,bures_sur_yvette,orsay_ville,le_guichet,lozere,palaiseau_villebon,palaiseau,massy_palaiseau,massy_verrieres,les_baconnets,fontaine_michalon,antony,la_croix_de_berny,parc_de_sceaux,bourg_la_reine,bagneux,arcueil_cachan,laplace,gentilly,cite_universitaire,denfert_rochereau,port_royal,luxembourg,saint_michel_notre_dame,chatelet_les_halles,gare_du_nord,la_plaine_stade_de_france,la_courneuve_aubervilliers,le_bourget,drancy,le_blanc_mesnil,aulnay_sous_bois,sevran_beaudottes,villepinte,parc_des_expositions,aeroport_cdg_1_rer,aeroport_charles_de_gaulle_2,sevran_livry,vert_galant,villeparisis_mitry_le_neuf,mitry_claye,ecart_max
ECCI31,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,10.0,10.0,10.0,,,,,,10.0
ECCI39,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,5.0
ECCI47,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,5.0
EGRE35,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,8.0
EGRE43,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,6.0
ELOI27,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,11.0,,,,,,11.0
ELOI51,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0
ELOI59,Nord,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0
ELOI67,Nord,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
EMMA55,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,3.0
EMMA63,Nord,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0
EMMA71,Nord,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0
EMMA79,Nord,,,,,,,,,,,0.0,0.0,0.0,-1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
EPIN23,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,11.0
IALE25,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,,12.0
IALE29,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,11.0,11.0,,11.0
IALE49,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,4.0,4.0,4.0,,4.0
ICOR33,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,10.0,10.0,10.0,,10.0
ICOR41,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,,,,,,5.0,5.0,5.0,,5.0
IDOR53,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0
IJEL05,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJEL13,Nord,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0
IJEL21,Nord,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0
IJUR57,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,2.0
IJUR65,Nord,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,1.0
IJUR73,Nord,,,,,,,,,,,,,,-1.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0
IJUR81,Nord,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0
ILAN37,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,3.0,3.0,,3.0
ILAN45,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,6.0,6.0,6.0,,6.0
INKE21,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,16.0
IRON61,Nord,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0
IRON69,Nord,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0
KERN32,Sud,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
KERN40,Sud,,,,,,,,,,,,,,,6.0,6.0,,6.0,6.0,6.0,6.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0
LOUP30,Sud,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
LOUP38,Sud,,,,,,,,,,5.0,5.0,5.0,5.0,4.0,,5.0,5.0,5.0,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
LOUP46,Sud,,,,,,,,,,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,5.0
LOUP54,Sud,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,5.0
LOUP62,Sud,,,,,,,,,,3.0,3.0,3.0,3.0,2.0,,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,4.0
LOUP70,Sud,,,,,,,,,,0.0,0.0,0.0,0.0,-1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0
PGAZ28,Sud,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
PGAZ36,Sud,,,,,0.0,0.0,0.0,0.0,-1.0,0.0,,,0.0,-1.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
PGAZ44,Sud,,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,5.0,5.0,,,,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,5.0
PGAZ52,Sud,,,,,7.0,7.0,7.0,7.0,7.0,7.0,,,7.0,6.0,,,,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,,,,,,,,,,,,,,,,,7.0
PGAZ60,Sud,,,,,3.0,3.0,3.0,3.0,2.0,3.0,,,3.0,2.0,,,,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,,,,,,,,,,,,,,,4.0
PGAZ68,Sud,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,-1.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0
