id,mission,direction,date_observation,ecart_max
1,ECCO33,Nord,2026-04-17 07:10:03.993710,0
2,ECCO39,Nord,2026-04-17 07:10:03.993710,0
3,ELAN31,Nord,2026-04-17 07:10:03.993710,0
4,ELFE53,Nord,2026-04-17 07:10:03.993710,0
5,ELFE61,Nord,2026-04-17 07:10:03.993710,0
6,EMIR57,Nord,2026-04-17 07:10:03.993710,1
7,EMIR65,Nord,2026-04-17 07:10:03.993710,0
8,EMIR73,Nord,2026-04-17 07:10:03.993710,0
9,GUAD63,Nord,2026-04-17 07:10:03.993710,0
10,IVAN51,Nord,2026-04-17 07:10:03.993710,0
11,IVAN59,Nord,2026-04-17 07:10:03.993710,0
12,IVAN67,Nord,2026-04-17 07:10:03.993710,1
13,IVAN75,Nord,2026-04-17 07:10:03.993710,0
14,KLEE44,Sud,2026-04-17 07:10:03.993710,0
15,KLEE52,Sud,2026-04-17 07:10:03.993710,5
16,KLEE60,Sud,2026-04-17 07:10:03.993710,4
17,LORE42,Sud,2026-04-17 07:10:03.993710,0
18,LORE50,Sud,2026-04-17 07:10:03.993710,1
19,LORE58,Sud,2026-04-17 07:10:03.993710,2
20,PAUL48,Sud,2026-04-17 07:10:03.993710,0
21,PAUL56,Sud,2026-04-17 07:10:03.993710,5
22,PAUL64,Sud,2026-04-17 07:10:03.993710,0
23,PROC24,Sud,2026-04-17 07:10:03.993710,3
24,SOSI34,Sud,2026-04-17 07:10:03.993710,1
25,STIN46,Sud,2026-04-17 07:10:03.993710,0
26,STIN54,Sud,2026-04-17 07:10:03.993710,1
27,STIN62,Sud,2026-04-17 07:10:03.993710,1
28,STIN70,Sud,2026-04-17 07:10:03.993710,0
29,EAST49,Nord,2026-04-17 07:15:03.509915,0
30,ECCO33,Nord,2026-04-17 07:15:03.509915,0
31,ECCO39,Nord,2026-04-17 07:15:03.509915,0
32,ECCO45,Nord,2026-04-17 07:15:03.509915,1
33,ELAN37,Nord,2026-04-17 07:15:03.509915,0
34,ELFE53,Nord,2026-04-17 07:15:03.509915,0
35,ELFE61,Nord,2026-04-17 07:15:03.509915,0
36,EMIR57,Nord,2026-04-17 07:15:03.509915,0
37,EMIR65,Nord,2026-04-17 07:15:03.509915,0
38,EMIR73,Nord,2026-04-17 07:15:03.509915,0
39,GEDO43,Nord,2026-04-17 07:15:03.509915,2
40,GONG47,Nord,2026-04-17 07:15:03.509915,0
41,GSOL55,Nord,2026-04-17 07:15:03.509915,0
42,GUAD63,Nord,2026-04-17 07:15:03.509915,0
43,GUAD71,Nord,2026-04-17 07:15:03.509915,0
44,ICAR35,Nord,2026-04-17 07:15:03.509915,0
45,ISOL41,Nord,2026-04-17 07:15:03.509915,2
46,IVAN51,Nord,2026-04-17 07:15:03.509915,0
47,IVAN59,Nord,2026-04-17 07:15:03.509915,0
48,IVAN67,Nord,2026-04-17 07:15:03.509915,1
49,IVAN75,Nord,2026-04-17 07:15:03.509915,0
50,IVAN83,Nord,2026-04-17 07:15:03.509915,1
51,KLEE44,Sud,2026-04-17 07:15:03.509915,0
52,KLEE52,Sud,2026-04-17 07:15:03.509915,0
