date_observation,heure_th,direction,score_regularite_sceaux,score_regularite_antony,score_regularite_bourg_la_reine,score_regularite_chatelet,score_regularite_aulnay,score_regularite_cdg1,score_regularite_vert_galant
2026-04-14 14:20:21.840449,14.0,Nord,100,100,100,100,99,93,100
2026-04-14 14:20:21.840449,14.0,Sud,100,100,100,100,100,100,100
2026-04-14 14:20:56.190239,14.0,Nord,100,98,99,97,93,89,95
2026-04-14 14:20:56.190239,14.0,Sud,95,100,75,99,97,100,100
2026-04-14 14:25:05.924039,14.0,Nord,100,97,98,97,94,93,95
2026-04-14 14:25:05.924039,14.0,Sud,95,95,95,89,93,97,100
2026-04-14 14:30:06.821731,14.0,Nord,100,97,98,97,94,93,95
2026-04-14 14:30:06.821731,14.0,Sud,95,91,90,83,83,97,100
2026-04-14 14:35:05.145864,14.0,Nord,100,97,98,97,94,93,95
2026-04-14 14:35:05.145864,14.0,Sud,95,91,90,88,83,97,100
2026-04-14 14:40:06.047705,14.0,Nord,100,97,98,97,94,93,95
2026-04-14 14:40:06.047705,14.0,Sud,95,91,90,89,81,95,100
2026-04-14 14:45:05.556003,14.0,Nord,100,97,98,97,92,93,95
2026-04-14 14:45:05.556003,14.0,Sud,95,91,90,89,79,95,100
2026-04-14 14:50:06.831899,14.0,Nord,100,97,98,97,94,93,95
2026-04-14 14:50:06.831899,14.0,Sud,95,91,90,89,79,95,100
2026-04-14 14:55:05.088109,14.0,Nord,100,95,98,97,94,93,95
2026-04-14 14:55:05.088109,14.0,Sud,95,91,90,90,79,95,100
2026-04-14 15:00:06.499337,15.0,Nord,100,98,96,93,96,97,98
2026-04-14 15:00:06.499337,15.0,Sud,98,95,88,99,100,100,100
2026-04-14 15:05:05.792316,15.0,Nord,100,98,75,94,94,97,98
2026-04-14 15:05:05.792316,15.0,Sud,98,95,83,99,100,100,100
2026-04-14 15:10:06.058926,15.0,Nord,100,95,73,89,99,97,98
2026-04-14 15:10:06.058926,15.0,Sud,98,95,84,94,100,100,100
2026-04-14 15:15:05.038531,15.0,Nord,100,95,73,89,96,98,98
