date_observation,direction,score_sceaux,score_antony,score_bourg_la_reine,score_chatelet,score_aulnay,score_cdg1,score_vert_galant
2026-04-16 14:36:05.562451,Nord,100,98,98,97,96,96,98
2026-04-16 14:36:05.562451,Sud,100,91,86,83,100,100,100
2026-04-16 14:36:05.583990,Nord,100,98,98,97,96,96,98
2026-04-16 14:36:05.583990,Sud,100,91,86,83,100,100,100
2026-04-16 14:36:09.817866,Nord,100,98,98,97,96,96,98
2026-04-16 14:36:09.817866,Sud,98,90,81,94,100,100,100
2026-04-16 14:40:04.878813,Nord,100,97,97,94,97,96,98
2026-04-16 14:40:04.878813,Sud,99,91,85,94,99,98,100
2026-04-16 14:45:05.166078,Nord,100,97,98,94,97,96,98
2026-04-16 14:45:05.166078,Sud,98,91,85,99,99,100,100
2026-04-16 14:50:07.015179,Nord,100,97,98,92,94,93,98
2026-04-16 14:50:07.015179,Sud,98,91,86,99,100,100,100
2026-04-16 14:55:05.348692,Nord,100,98,98,92,94,94,98
2026-04-16 14:55:05.348692,Sud,99,91,88,99,100,100,100
2026-04-16 15:00:08.364418,Nord,100,98,99,94,94,95,97
2026-04-16 15:00:08.364418,Sud,98,92,100,100,100,100,100
2026-04-16 15:05:06.315641,Nord,100,97,98,94,94,91,98
2026-04-16 15:05:06.315641,Sud,98,95,92,97,96,100,100
2026-04-16 15:10:05.237316,Nord,100,98,97,92,95,92,98
2026-04-16 15:10:05.237316,Sud,99,95,92,97,96,100,100
2026-04-16 15:15:06.180402,Nord,100,98,99,94,94,89,98
2026-04-16 15:15:06.180402,Sud,97,95,65,94,93,100,97
2026-04-16 15:20:06.899409,Nord,100,97,98,92,92,89,98
2026-04-16 15:20:06.899409,Sud,98,95,68,94,94,100,97
2026-04-16 15:25:06.671243,Nord,100,97,98,92,92,88,98
2026-04-16 15:25:06.671243,Sud,97,95,78,97,95,100,100
2026-04-16 15:30:05.683859,Nord,100,97,98,94,92,89,98
2026-04-16 15:30:05.683859,Sud,97,97,75,97,100,100,100
2026-04-16 15:35:06.569408,Nord,100,97,98,95,91,87,98
2026-04-16 15:35:06.569408,Sud,97,98,82,97,100,100,100
2026-04-16 15:40:06.404037,Nord,100,94,71,87,80,87,97
2026-04-16 15:40:06.404037,Sud,97,97,80,94,98,100,100
2026-04-16 15:45:06.165563,Nord,100,95,67,87,88,83,97
2026-04-16 15:45:06.165563,Sud,97,95,83,90,100,100,100
2026-04-16 15:50:06.061445,Nord,100,96,69,88,88,87,98
2026-04-16 15:50:06.061445,Sud,97,93,79,99,99,100,100
2026-04-16 16:46:49.813132,Nord,100,100,100,98,94,92,99
2026-04-16 16:46:49.813132,Sud,100,100,99,100,100,100,100
2026-04-16 16:46:51.999529,Nord,100,100,98,92,85,87,96
2026-04-16 16:46:51.999529,Sud,100,97,95,95,99,100,100
2026-04-16 16:50:05.876592,Nord,100,100,98,94,91,89,93
2026-04-16 16:50:05.876592,Sud,98,94,92,88,97,98,100
2026-04-16 16:55:05.111611,Nord,100,100,98,93,90,88,91
2026-04-16 16:55:05.111611,Sud,97,92,92,92,97,100,100
2026-04-16 17:00:06.374493,Nord,100,100,98,94,94,90,94
2026-04-16 17:00:06.374493,Sud,95,95,95,95,100,100,100
2026-04-17 07:05:03.884717,Nord,0,0,98,0,0,0,0
2026-04-17 07:05:03.884717,Sud,0,0,46,0,0,0,0
