mission,type_mission,destination,robinson,fontenay_aux_roses,sceaux,saint_remy_les_chevreuse,courcelle_sur_yvette,gif_sur_yvette,la_hacquiniere,bures_sur_yvette,orsay_ville,le_guichet,lozere,palaiseau_villebon,palaiseau,massy_palaiseau,massy_verrieres,les_baconnets,fontaine_michalon,antony,la_croix_de_berny,parc_de_sceaux,bourg_la_reine,bagneux,arcueil_cachan,laplace,gentilly,cite_universitaire,denfert_rochereau,port_royal,luxembourg,saint_michel_notre_dame,chatelet_les_halles,gare_du_nord,la_plaine_stade_de_france,la_courneuve_aubervilliers,le_bourget,drancy,le_blanc_mesnil,aulnay_sous_bois,sevran_beaudottes,villepinte,parc_des_expositions,aeroport_cdg_1_rer,aeroport_charles_de_gaulle_2,sevran_livry,vert_galant,villeparisis_mitry_le_neuf,mitry_claye,gare_depart,nb_arrets_desservis,date_observation
GUAD71,GUAD,Aulnay-sous-Bois,,,,,,,,,,,,,,2026-04-17 07:13:33+02:00,2026-04-17 07:15:38+02:00,2026-04-17 07:17:36+02:00,,2026-04-17 07:20:14+02:00,2026-04-17 07:22:10+02:00,2026-04-17 07:24:03+02:00,2026-04-17 07:25:57+02:00,2026-04-17 07:28:36+02:00,2026-04-17 07:30:16+02:00,2026-04-17 07:32:24+02:00,2026-04-17 07:34:11+02:00,2026-04-17 07:35:47+02:00,2026-04-17 07:38:22+02:00,2026-04-17 07:40:39+02:00,2026-04-17 07:42:13+02:00,2026-04-17 07:44:19+02:00,2026-04-17 07:46:39+02:00,2026-04-17 07:51:00+02:00,2026-04-17 07:56:10+02:00,2026-04-17 07:58:40+02:00,2026-04-17 08:01:50+02:00,2026-04-17 08:04:30+02:00,2026-04-17 08:06:40+02:00,,,,,,,,,,,Massy - Palaiseau,23,2026-04-17 07:10:02.116790+02:00
IVIS15,IVIS,Mitry - Claye,,,,2026-04-17 07:59:52+02:00,2026-04-17 08:02:53+02:00,2026-04-17 08:06:00+02:00,2026-04-17 08:07:56+02:00,2026-04-17 08:09:48+02:00,2026-04-17 08:12:18+02:00,2026-04-17 08:14:52+02:00,,,2026-04-17 08:19:18+02:00,2026-04-17 08:21:40+02:00,,,,2026-04-17 08:26:55+02:00,2026-04-17 08:28:46+02:00,,2026-04-17 08:31:37+02:00,2026-04-17 08:34:26+02:00,2026-04-17 08:36:06+02:00,2026-04-17 08:38:19+02:00,2026-04-17 08:40:06+02:00,2026-04-17 08:41:42+02:00,2026-04-17 08:44:22+02:00,2026-04-17 08:46:39+02:00,2026-04-17 08:48:13+02:00,2026-04-17 08:50:19+02:00,2026-04-17 08:52:39+02:00,2026-04-17 08:57:00+02:00,2026-04-17 09:02:10+02:00,2026-04-17 09:04:40+02:00,2026-04-17 09:07:50+02:00,2026-04-17 09:10:30+02:00,2026-04-17 09:12:40+02:00,2026-04-17 09:15:20+02:00,,,,,,2026-04-17 09:18:40+02:00,2026-04-17 09:21:30+02:00,2026-04-17 09:24:40+02:00,,Saint-Rémy-lès-Chevreuse,32,2026-04-17 07:10:02.116790+02:00
STIN94,STIN,Robinson,,2026-04-17 08:51:21+02:00,2026-04-17 08:49:36+02:00,,,,,,,,,,,,,,,,,,2026-04-17 08:47:24+02:00,2026-04-17 08:44:51+02:00,2026-04-17 08:43:03+02:00,2026-04-17 08:40:55+02:00,2026-04-17 08:38:59+02:00,2026-04-17 08:37:02+02:00,2026-04-17 08:34:14+02:00,2026-04-17 08:32:26+02:00,2026-04-17 08:30:51+02:00,2026-04-17 08:28:29+02:00,2026-04-17 08:26:07+02:00,2026-04-17 08:23:00+02:00,2026-04-17 08:17:20+02:00,2026-04-17 08:14:30+02:00,2026-04-17 08:11:00+02:00,2026-04-17 08:08:10+02:00,2026-04-17 08:06:00+02:00,2026-04-17 08:03:50+02:00,2026-04-17 08:00:10+02:00,2026-04-17 07:57:20+02:00,2026-04-17 07:55:20+02:00,2026-04-17 07:50:00+02:00,2026-04-17 07:42:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-04-17 07:10:02.116790+02:00
ELFE77,ELFE,Aéroport Charles de Gaulle 2 (Terminal 2),2026-04-17 07:28:33+02:00,2026-04-17 07:30:54+02:00,2026-04-17 07:32:38+02:00,,,,,,,,,,,,,,,,,,2026-04-17 07:34:36+02:00,2026-04-17 07:37:31+02:00,2026-04-17 07:39:11+02:00,2026-04-17 07:41:19+02:00,2026-04-17 07:43:06+02:00,2026-04-17 07:44:42+02:00,2026-04-17 07:47:22+02:00,2026-04-17 07:49:39+02:00,2026-04-17 07:51:13+02:00,2026-04-17 07:53:19+02:00,2026-04-17 07:55:39+02:00,2026-04-17 08:00:00+02:00,2026-04-17 08:05:10+02:00,2026-04-17 08:07:40+02:00,2026-04-17 08:10:50+02:00,2026-04-17 08:13:30+02:00,2026-04-17 08:15:40+02:00,2026-04-17 08:18:10+02:00,2026-04-17 08:21:30+02:00,2026-04-17 08:24:00+02:00,2026-04-17 08:26:20+02:00,2026-04-17 08:32:00+02:00,,,,,,Robinson,25,2026-04-17 07:10:02.116790+02:00
GUAD63,GUAD,Aulnay-sous-Bois,,,,,,,,,,,,,,,,,,,2026-04-17 07:10:10+02:00,2026-04-17 07:12:03+02:00,2026-04-17 07:13:57+02:00,2026-04-17 07:16:36+02:00,2026-04-17 07:18:16+02:00,2026-04-17 07:20:24+02:00,2026-04-17 07:22:11+02:00,2026-04-17 07:23:47+02:00,2026-04-17 07:26:22+02:00,2026-04-17 07:28:39+02:00,2026-04-17 07:30:13+02:00,2026-04-17 07:32:19+02:00,2026-04-17 07:34:39+02:00,2026-04-17 07:39:00+02:00,2026-04-17 07:44:10+02:00,2026-04-17 07:46:40+02:00,2026-04-17 07:49:50+02:00,2026-04-17 07:52:30+02:00,2026-04-17 07:54:40+02:00,,,,,,,,,,,La Croix de Berny,19,2026-04-17 07:10:02.116790+02:00
EMIR89,EMIR,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,2026-04-17 07:30:31+02:00,2026-04-17 07:32:35+02:00,2026-04-17 07:34:42+02:00,2026-04-17 07:37:11+02:00,2026-04-17 07:39:02+02:00,2026-04-17 07:41:14+02:00,,2026-04-17 07:44:44+02:00,2026-04-17 07:46:19+02:00,2026-04-17 07:48:20+02:00,2026-04-17 07:50:11+02:00,,2026-04-17 07:52:57+02:00,2026-04-17 07:55:36+02:00,2026-04-17 07:57:16+02:00,2026-04-17 07:59:24+02:00,2026-04-17 08:01:11+02:00,2026-04-17 08:02:47+02:00,2026-04-17 08:05:22+02:00,2026-04-17 08:07:39+02:00,2026-04-17 08:09:13+02:00,2026-04-17 08:11:19+02:00,2026-04-17 08:13:39+02:00,2026-04-17 08:18:00+02:00,2026-04-17 08:23:10+02:00,2026-04-17 08:25:40+02:00,2026-04-17 08:28:50+02:00,2026-04-17 08:31:30+02:00,2026-04-17 08:33:40+02:00,2026-04-17 08:36:10+02:00,2026-04-17 08:39:30+02:00,2026-04-17 08:42:00+02:00,2026-04-17 08:44:20+02:00,2026-04-17 08:50:00+02:00,,,,,,Orsay Ville,32,2026-04-17 07:10:02.116790+02:00
ISOL41,ISOL,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 07:11:06+02:00,2026-04-17 07:13:36+02:00,2026-04-17 07:16:46+02:00,2026-04-17 07:19:26+02:00,2026-04-17 07:21:36+02:00,2026-04-17 07:24:16+02:00,,,,,,2026-04-17 07:27:36+02:00,2026-04-17 07:30:26+02:00,2026-04-17 07:33:36+02:00,,La Plaine Stade de France,9,2026-04-17 07:10:02.116790+02:00
PUMA38,PUMA,Saint-Rémy-lès-Chevreuse,,,,,2026-04-17 07:55:28+02:00,2026-04-17 07:52:15+02:00,2026-04-17 07:50:22+02:00,2026-04-17 07:48:30+02:00,2026-04-17 07:46:13+02:00,2026-04-17 07:43:55+02:00,2026-04-17 07:41:34+02:00,2026-04-17 07:38:41+02:00,2026-04-17 07:36:36+02:00,2026-04-17 07:33:54+02:00,2026-04-17 07:31:38+02:00,2026-04-17 07:29:34+02:00,2026-04-17 07:28:00+02:00,2026-04-17 07:25:40+02:00,2026-04-17 07:23:55+02:00,2026-04-17 07:22:11+02:00,2026-04-17 07:19:59+02:00,2026-04-17 07:17:31+02:00,2026-04-17 07:15:43+02:00,2026-04-17 07:13:35+02:00,2026-04-17 07:11:44+02:00,2026-04-17 07:09:52+02:00,,,,,,,,,,,,,,,,,,,,,,Cité Universitaire,22,2026-04-17 07:10:02.116790+02:00
IVAN99,IVAN,Mitry - Claye,,,,2026-04-17 07:35:52+02:00,2026-04-17 07:38:53+02:00,2026-04-17 07:42:00+02:00,2026-04-17 07:43:56+02:00,2026-04-17 07:45:48+02:00,2026-04-17 07:48:18+02:00,2026-04-17 07:50:52+02:00,,,2026-04-17 07:55:18+02:00,2026-04-17 07:57:40+02:00,,,,2026-04-17 08:02:55+02:00,2026-04-17 08:04:46+02:00,,2026-04-17 08:07:37+02:00,2026-04-17 08:10:26+02:00,2026-04-17 08:12:06+02:00,2026-04-17 08:14:19+02:00,2026-04-17 08:16:06+02:00,2026-04-17 08:17:42+02:00,2026-04-17 08:20:22+02:00,2026-04-17 08:22:39+02:00,2026-04-17 08:24:13+02:00,2026-04-17 08:26:19+02:00,2026-04-17 08:28:39+02:00,2026-04-17 08:33:00+02:00,2026-04-17 08:38:10+02:00,2026-04-17 08:40:40+02:00,2026-04-17 08:43:50+02:00,2026-04-17 08:46:30+02:00,2026-04-17 08:48:40+02:00,2026-04-17 08:51:20+02:00,,,,,,2026-04-17 08:54:40+02:00,2026-04-17 08:57:30+02:00,2026-04-17 09:00:40+02:00,,Saint-Rémy-lès-Chevreuse,32,2026-04-17 07:10:02.116790+02:00
STIN46,STIN,Robinson,,2026-04-17 07:39:31+02:00,2026-04-17 07:37:46+02:00,,,,,,,,,,,,,,,,,,2026-04-17 07:35:34+02:00,2026-04-17 07:33:01+02:00,2026-04-17 07:31:13+02:00,2026-04-17 07:29:05+02:00,2026-04-17 07:27:09+02:00,2026-04-17 07:25:12+02:00,2026-04-17 07:22:24+02:00,2026-04-17 07:20:36+02:00,2026-04-17 07:19:01+02:00,2026-04-17 07:16:39+02:00,2026-04-17 07:13:49+02:00,2026-04-17 07:11:00+02:00,,,,,,,,,,,,,,,,Gare du Nord,14,2026-04-17 07:10:02.116790+02:00
