mission,robinson,fontenay_aux_roses,sceaux,saint_remy_les_chevreuse,courcelle_sur_yvette,gif_sur_yvette,la_hacquiniere,bures_sur_yvette,orsay_ville,le_guichet,lozere,palaiseau_villebon,palaiseau,massy_palaiseau,massy_verrieres,les_baconnets,fontaine_michalon,antony,la_croix_de_berny,parc_de_sceaux,bourg_la_reine,bagneux,arcueil_cachan,laplace,gentilly,cite_universitaire,denfert_rochereau,port_royal,luxembourg,saint_michel_notre_dame,chatelet_les_halles,gare_du_nord,la_plaine_stade_de_france,la_courneuve_aubervilliers,le_bourget,drancy,le_blanc_mesnil,aulnay_sous_bois,sevran_beaudottes,villepinte,parc_des_expositions,aeroport_cdg_1_rer,aeroport_charles_de_gaulle_2,sevran_livry,vert_galant,villeparisis_mitry_le_neuf,mitry_claye,date_observation
IVAN91,,,,,,,,,,,,,,,,,,2026-04-15 07:51:15+02:00,2026-04-15 07:53:06+02:00,,2026-04-15 07:56:07+02:00,2026-04-15 07:58:36+02:00,2026-04-15 08:00:26+02:00,2026-04-15 08:02:29+02:00,2026-04-15 08:04:16+02:00,2026-04-15 08:06:12+02:00,2026-04-15 08:09:02+02:00,2026-04-15 08:10:49+02:00,2026-04-15 08:12:23+02:00,2026-04-15 08:14:59+02:00,2026-04-15 08:17:00+02:00,2026-04-15 08:21:00+02:00,2026-04-15 08:26:10+02:00,2026-04-15 08:28:40+02:00,2026-04-15 08:31:50+02:00,2026-04-15 08:34:30+02:00,2026-04-15 08:36:40+02:00,2026-04-15 08:39:20+02:00,,,,,,2026-04-15 08:42:40+02:00,2026-04-15 08:45:30+02:00,2026-04-15 08:48:40+02:00,,2026-04-15 07:50:04.202014+02:00
KFON26,,,,,,,,,,,,,,,2026-04-15 09:42:43+02:00,2026-04-15 09:40:59+02:00,2026-04-15 09:39:35+02:00,2026-04-15 09:37:40+02:00,2026-04-15 09:35:45+02:00,2026-04-15 09:33:56+02:00,2026-04-15 09:32:09+02:00,2026-04-15 09:29:26+02:00,2026-04-15 09:27:53+02:00,2026-04-15 09:25:55+02:00,2026-04-15 09:24:09+02:00,2026-04-15 09:22:32+02:00,2026-04-15 09:19:54+02:00,2026-04-15 09:17:36+02:00,2026-04-15 09:16:01+02:00,2026-04-15 09:14:09+02:00,2026-04-15 09:11:47+02:00,2026-04-15 09:08:00+02:00,2026-04-15 09:02:20+02:00,2026-04-15 08:59:30+02:00,2026-04-15 08:56:00+02:00,2026-04-15 08:53:10+02:00,2026-04-15 08:51:00+02:00,2026-04-15 08:48:50+02:00,,,,,,2026-04-15 08:45:10+02:00,2026-04-15 08:42:00+02:00,2026-04-15 08:38:50+02:00,2026-04-15 08:35:00+02:00,2026-04-15 07:50:04.202014+02:00
ELFE61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:49:30+02:00,2026-04-15 07:51:40+02:00,2026-04-15 07:54:10+02:00,2026-04-15 07:57:30+02:00,2026-04-15 08:00:00+02:00,2026-04-15 08:02:20+02:00,2026-04-15 08:08:00+02:00,,,,,,2026-04-15 07:50:04.202014+02:00
LORE74,,,,,,,,,,2026-04-15 08:40:38+02:00,2026-04-15 08:38:17+02:00,2026-04-15 08:35:24+02:00,2026-04-15 08:33:19+02:00,2026-04-15 08:30:52+02:00,,2026-04-15 08:26:43+02:00,2026-04-15 08:24:59+02:00,2026-04-15 08:22:44+02:00,2026-04-15 08:20:49+02:00,,2026-04-15 08:17:54+02:00,2026-04-15 08:15:11+02:00,2026-04-15 08:13:23+02:00,2026-04-15 08:11:15+02:00,2026-04-15 08:09:19+02:00,2026-04-15 08:07:32+02:00,2026-04-15 08:04:54+02:00,2026-04-15 08:02:36+02:00,2026-04-15 08:01:01+02:00,2026-04-15 07:59:09+02:00,2026-04-15 07:56:47+02:00,2026-04-15 07:53:00+02:00,,,,,,,,,,,,,,,,2026-04-15 07:50:04.202014+02:00
KOCQ36,,,,,,,,,,,,,,,2026-04-15 09:57:43+02:00,2026-04-15 09:55:59+02:00,2026-04-15 09:54:35+02:00,2026-04-15 09:52:40+02:00,2026-04-15 09:50:45+02:00,2026-04-15 09:48:56+02:00,2026-04-15 09:47:09+02:00,2026-04-15 09:44:26+02:00,2026-04-15 09:42:53+02:00,2026-04-15 09:40:55+02:00,2026-04-15 09:39:09+02:00,2026-04-15 09:37:32+02:00,2026-04-15 09:34:54+02:00,2026-04-15 09:32:36+02:00,2026-04-15 09:31:01+02:00,2026-04-15 09:29:09+02:00,2026-04-15 09:26:47+02:00,2026-04-15 09:23:00+02:00,2026-04-15 09:17:20+02:00,2026-04-15 09:14:30+02:00,2026-04-15 09:11:00+02:00,2026-04-15 09:08:10+02:00,2026-04-15 09:06:00+02:00,2026-04-15 09:03:50+02:00,2026-04-15 09:00:10+02:00,2026-04-15 08:57:20+02:00,2026-04-15 08:55:20+02:00,2026-04-15 08:50:00+02:00,2026-04-15 08:42:50+02:00,,,,,2026-04-15 07:50:04.202014+02:00
LORE90,,,,,,,,,,2026-04-15 09:04:38+02:00,2026-04-15 09:02:17+02:00,2026-04-15 08:59:24+02:00,2026-04-15 08:57:19+02:00,2026-04-15 08:54:52+02:00,,2026-04-15 08:50:43+02:00,2026-04-15 08:48:59+02:00,2026-04-15 08:46:44+02:00,2026-04-15 08:44:49+02:00,,2026-04-15 08:41:54+02:00,2026-04-15 08:39:11+02:00,2026-04-15 08:37:23+02:00,2026-04-15 08:35:15+02:00,2026-04-15 08:33:19+02:00,2026-04-15 08:31:32+02:00,2026-04-15 08:28:54+02:00,2026-04-15 08:26:36+02:00,2026-04-15 08:25:01+02:00,2026-04-15 08:23:09+02:00,2026-04-15 08:20:47+02:00,2026-04-15 08:17:00+02:00,2026-04-15 08:11:20+02:00,2026-04-15 08:08:30+02:00,2026-04-15 08:05:00+02:00,2026-04-15 08:02:10+02:00,2026-04-15 08:00:00+02:00,2026-04-15 07:57:50+02:00,2026-04-15 07:54:10+02:00,2026-04-15 07:51:20+02:00,,,,,,,,2026-04-15 07:50:04.202014+02:00
ELOI25,2026-04-15 08:40:33+02:00,2026-04-15 08:43:04+02:00,2026-04-15 08:44:48+02:00,,,,,,,,,,,,,,,,,,2026-04-15 08:47:06+02:00,2026-04-15 08:49:41+02:00,2026-04-15 08:51:26+02:00,2026-04-15 08:53:29+02:00,2026-04-15 08:55:16+02:00,2026-04-15 08:57:12+02:00,2026-04-15 09:00:02+02:00,2026-04-15 09:01:49+02:00,2026-04-15 09:03:23+02:00,2026-04-15 09:05:59+02:00,2026-04-15 09:08:00+02:00,2026-04-15 09:12:00+02:00,2026-04-15 09:17:10+02:00,2026-04-15 09:19:40+02:00,2026-04-15 09:22:50+02:00,2026-04-15 09:25:30+02:00,2026-04-15 09:27:40+02:00,2026-04-15 09:30:10+02:00,2026-04-15 09:33:30+02:00,2026-04-15 09:36:00+02:00,2026-04-15 09:38:20+02:00,2026-04-15 09:44:00+02:00,,,,,,2026-04-15 07:50:04.202014+02:00
STRI04,,2026-04-15 09:03:31+02:00,2026-04-15 09:01:46+02:00,,,,,,,,,,,,,,,,,,2026-04-15 08:59:49+02:00,2026-04-15 08:57:01+02:00,2026-04-15 08:55:23+02:00,2026-04-15 08:53:15+02:00,2026-04-15 08:51:19+02:00,2026-04-15 08:49:32+02:00,2026-04-15 08:46:54+02:00,2026-04-15 08:44:36+02:00,2026-04-15 08:43:01+02:00,2026-04-15 08:41:09+02:00,2026-04-15 08:38:47+02:00,2026-04-15 08:35:00+02:00,2026-04-15 08:29:20+02:00,2026-04-15 08:26:30+02:00,2026-04-15 08:23:00+02:00,2026-04-15 08:20:10+02:00,2026-04-15 08:18:00+02:00,2026-04-15 08:15:50+02:00,2026-04-15 08:12:10+02:00,2026-04-15 08:09:20+02:00,2026-04-15 08:07:20+02:00,2026-04-15 08:02:00+02:00,2026-04-15 07:54:50+02:00,,,,,2026-04-15 07:50:04.202014+02:00
ELFE85,,,,,,,,,,,,,,,,,,,,,,2026-04-15 07:49:41+02:00,2026-04-15 07:51:26+02:00,2026-04-15 07:53:29+02:00,2026-04-15 07:55:16+02:00,2026-04-15 07:57:12+02:00,2026-04-15 08:00:02+02:00,2026-04-15 08:01:49+02:00,2026-04-15 08:03:23+02:00,2026-04-15 08:05:59+02:00,2026-04-15 08:08:00+02:00,2026-04-15 08:12:00+02:00,2026-04-15 08:17:10+02:00,2026-04-15 08:19:40+02:00,2026-04-15 08:22:50+02:00,2026-04-15 08:25:30+02:00,2026-04-15 08:27:40+02:00,2026-04-15 08:30:10+02:00,2026-04-15 08:33:30+02:00,2026-04-15 08:36:00+02:00,2026-04-15 08:38:20+02:00,2026-04-15 08:44:00+02:00,,,,,,2026-04-15 07:50:04.202014+02:00
ELOI17,2026-04-15 08:28:33+02:00,2026-04-15 08:31:04+02:00,2026-04-15 08:32:48+02:00,,,,,,,,,,,,,,,,,,2026-04-15 08:35:06+02:00,2026-04-15 08:37:41+02:00,2026-04-15 08:39:26+02:00,2026-04-15 08:41:29+02:00,2026-04-15 08:43:16+02:00,2026-04-15 08:45:12+02:00,2026-04-15 08:48:02+02:00,2026-04-15 08:49:49+02:00,2026-04-15 08:51:23+02:00,2026-04-15 08:53:59+02:00,2026-04-15 08:56:00+02:00,2026-04-15 09:00:00+02:00,2026-04-15 09:05:10+02:00,2026-04-15 09:07:40+02:00,2026-04-15 09:10:50+02:00,2026-04-15 09:13:30+02:00,2026-04-15 09:15:40+02:00,2026-04-15 09:18:10+02:00,2026-04-15 09:21:30+02:00,2026-04-15 09:24:00+02:00,2026-04-15 09:26:20+02:00,2026-04-15 09:32:00+02:00,,,,,,2026-04-15 07:50:04.202014+02:00
