mission,type_mission,destination,robinson,fontenay_aux_roses,sceaux,saint_remy_les_chevreuse,courcelle_sur_yvette,gif_sur_yvette,la_hacquiniere,bures_sur_yvette,orsay_ville,le_guichet,lozere,palaiseau_villebon,palaiseau,massy_palaiseau,massy_verrieres,les_baconnets,fontaine_michalon,antony,la_croix_de_berny,parc_de_sceaux,bourg_la_reine,bagneux,arcueil_cachan,laplace,gentilly,cite_universitaire,denfert_rochereau,port_royal,luxembourg,saint_michel_notre_dame,chatelet_les_halles,gare_du_nord,la_plaine_stade_de_france,la_courneuve_aubervilliers,le_bourget,drancy,le_blanc_mesnil,aulnay_sous_bois,sevran_beaudottes,villepinte,parc_des_expositions,aeroport_cdg_1_rer,aeroport_charles_de_gaulle_2,sevran_livry,vert_galant,villeparisis_mitry_le_neuf,mitry_claye,gare_depart,nb_arrets_desservis,date_observation
GUAD71,GUAD,Aulnay-sous-Bois,,,,,,,,,,,,,,2026-04-17 07:13:33+02:00,2026-04-17 07:15:48+02:00,2026-04-17 07:17:46+02:00,,2026-04-17 07:20:39+02:00,2026-04-17 07:22:25+02:00,2026-04-17 07:24:08+02:00,2026-04-17 07:26:17+02:00,2026-04-17 07:28:46+02:00,2026-04-17 07:30:31+02:00,2026-04-17 07:32:34+02:00,2026-04-17 07:34:21+02:00,2026-04-17 07:36:12+02:00,2026-04-17 07:39:02+02:00,2026-04-17 07:40:49+02:00,2026-04-17 07:42:23+02:00,2026-04-17 07:44:59+02:00,2026-04-17 07:47:00+02:00,2026-04-17 07:51:00+02:00,2026-04-17 07:56:10+02:00,2026-04-17 07:58:40+02:00,2026-04-17 08:01:50+02:00,2026-04-17 08:04:30+02:00,2026-04-17 08:06:40+02:00,,,,,,,,,,,Massy - Palaiseau,23,2026-04-17 07:10:02.043606+02:00
IVIS15,IVIS,Mitry - Claye,,,,2026-04-17 07:59:52+02:00,2026-04-17 08:03:03+02:00,2026-04-17 08:06:10+02:00,2026-04-17 08:08:06+02:00,2026-04-17 08:09:58+02:00,2026-04-17 08:12:48+02:00,2026-04-17 08:15:07+02:00,,,2026-04-17 08:19:38+02:00,2026-04-17 08:22:20+02:00,,,,2026-04-17 08:27:15+02:00,2026-04-17 08:29:06+02:00,,2026-04-17 08:32:07+02:00,2026-04-17 08:34:36+02:00,2026-04-17 08:36:26+02:00,2026-04-17 08:38:29+02:00,2026-04-17 08:40:16+02:00,2026-04-17 08:42:12+02:00,2026-04-17 08:45:02+02:00,2026-04-17 08:46:49+02:00,2026-04-17 08:48:23+02:00,2026-04-17 08:50:59+02:00,2026-04-17 08:53:00+02:00,2026-04-17 08:57:00+02:00,2026-04-17 09:02:10+02:00,2026-04-17 09:04:40+02:00,2026-04-17 09:07:50+02:00,2026-04-17 09:10:30+02:00,2026-04-17 09:12:40+02:00,2026-04-17 09:15:20+02:00,,,,,,2026-04-17 09:18:40+02:00,2026-04-17 09:21:30+02:00,2026-04-17 09:24:40+02:00,,Saint-Rémy-lès-Chevreuse,32,2026-04-17 07:10:02.043606+02:00
STIN94,STIN,Robinson,,2026-04-17 08:51:31+02:00,2026-04-17 08:49:46+02:00,,,,,,,,,,,,,,,,,,2026-04-17 08:47:49+02:00,2026-04-17 08:45:01+02:00,2026-04-17 08:43:23+02:00,2026-04-17 08:41:15+02:00,2026-04-17 08:39:19+02:00,2026-04-17 08:37:32+02:00,2026-04-17 08:34:54+02:00,2026-04-17 08:32:36+02:00,2026-04-17 08:31:01+02:00,2026-04-17 08:29:09+02:00,2026-04-17 08:26:47+02:00,2026-04-17 08:23:00+02:00,2026-04-17 08:17:20+02:00,2026-04-17 08:14:30+02:00,2026-04-17 08:11:00+02:00,2026-04-17 08:08:10+02:00,2026-04-17 08:06:00+02:00,2026-04-17 08:03:50+02:00,2026-04-17 08:00:10+02:00,2026-04-17 07:57:20+02:00,2026-04-17 07:55:20+02:00,2026-04-17 07:50:00+02:00,2026-04-17 07:42:50+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-04-17 07:10:02.043606+02:00
ELFE77,ELFE,Aéroport Charles de Gaulle 2 (Terminal 2),2026-04-17 07:28:33+02:00,2026-04-17 07:31:04+02:00,2026-04-17 07:32:48+02:00,,,,,,,,,,,,,,,,,,2026-04-17 07:35:06+02:00,2026-04-17 07:37:41+02:00,2026-04-17 07:39:26+02:00,2026-04-17 07:41:29+02:00,2026-04-17 07:43:16+02:00,2026-04-17 07:45:12+02:00,2026-04-17 07:48:02+02:00,2026-04-17 07:49:49+02:00,2026-04-17 07:51:23+02:00,2026-04-17 07:53:59+02:00,2026-04-17 07:56:00+02:00,2026-04-17 08:00:00+02:00,2026-04-17 08:05:10+02:00,2026-04-17 08:07:40+02:00,2026-04-17 08:10:50+02:00,2026-04-17 08:13:30+02:00,2026-04-17 08:15:40+02:00,2026-04-17 08:18:10+02:00,2026-04-17 08:21:30+02:00,2026-04-17 08:24:00+02:00,2026-04-17 08:26:20+02:00,2026-04-17 08:32:00+02:00,,,,,,Robinson,25,2026-04-17 07:10:02.043606+02:00
GUAD63,GUAD,Aulnay-sous-Bois,,,,,,,,,,,,,,,,,,,2026-04-17 07:10:25+02:00,2026-04-17 07:12:08+02:00,2026-04-17 07:14:17+02:00,2026-04-17 07:16:46+02:00,2026-04-17 07:18:31+02:00,2026-04-17 07:20:34+02:00,2026-04-17 07:22:21+02:00,2026-04-17 07:24:12+02:00,2026-04-17 07:27:02+02:00,2026-04-17 07:28:49+02:00,2026-04-17 07:30:23+02:00,2026-04-17 07:32:59+02:00,2026-04-17 07:35:00+02:00,2026-04-17 07:39:00+02:00,2026-04-17 07:44:10+02:00,2026-04-17 07:46:40+02:00,2026-04-17 07:49:50+02:00,2026-04-17 07:52:30+02:00,2026-04-17 07:54:40+02:00,,,,,,,,,,,La Croix de Berny,19,2026-04-17 07:10:02.043606+02:00
EMIR89,EMIR,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,2026-04-17 07:30:31+02:00,2026-04-17 07:32:45+02:00,2026-04-17 07:34:47+02:00,2026-04-17 07:37:21+02:00,2026-04-17 07:39:12+02:00,2026-04-17 07:41:44+02:00,,2026-04-17 07:44:54+02:00,2026-04-17 07:46:24+02:00,2026-04-17 07:48:40+02:00,2026-04-17 07:50:26+02:00,,2026-04-17 07:53:17+02:00,2026-04-17 07:55:46+02:00,2026-04-17 07:57:31+02:00,2026-04-17 07:59:34+02:00,2026-04-17 08:01:21+02:00,2026-04-17 08:03:12+02:00,2026-04-17 08:06:02+02:00,2026-04-17 08:07:49+02:00,2026-04-17 08:09:23+02:00,2026-04-17 08:11:59+02:00,2026-04-17 08:14:00+02:00,2026-04-17 08:18:00+02:00,2026-04-17 08:23:10+02:00,2026-04-17 08:25:40+02:00,2026-04-17 08:28:50+02:00,2026-04-17 08:31:30+02:00,2026-04-17 08:33:40+02:00,2026-04-17 08:36:10+02:00,2026-04-17 08:39:30+02:00,2026-04-17 08:42:00+02:00,2026-04-17 08:44:20+02:00,2026-04-17 08:50:00+02:00,,,,,,Orsay Ville,32,2026-04-17 07:10:02.043606+02:00
ISOL41,ISOL,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-17 07:08:10+02:00,2026-04-17 07:10:40+02:00,2026-04-17 07:13:50+02:00,2026-04-17 07:16:30+02:00,2026-04-17 07:18:40+02:00,2026-04-17 07:21:20+02:00,,,,,,2026-04-17 07:24:40+02:00,2026-04-17 07:27:30+02:00,2026-04-17 07:30:40+02:00,,La Plaine Stade de France,9,2026-04-17 07:10:02.043606+02:00
PUMA38,PUMA,Saint-Rémy-lès-Chevreuse,,,,,2026-04-17 07:55:58+02:00,2026-04-17 07:52:50+02:00,2026-04-17 07:50:52+02:00,2026-04-17 07:49:00+02:00,2026-04-17 07:47:03+02:00,2026-04-17 07:44:40+02:00,2026-04-17 07:42:19+02:00,2026-04-17 07:39:26+02:00,2026-04-17 07:37:21+02:00,2026-04-17 07:34:54+02:00,2026-04-17 07:32:08+02:00,2026-04-17 07:30:14+02:00,2026-04-17 07:28:30+02:00,2026-04-17 07:26:25+02:00,2026-04-17 07:24:30+02:00,2026-04-17 07:22:36+02:00,2026-04-17 07:20:44+02:00,2026-04-17 07:18:01+02:00,2026-04-17 07:16:23+02:00,2026-04-17 07:14:15+02:00,2026-04-17 07:12:19+02:00,2026-04-17 07:10:37+02:00,,,,,,,,,,,,,,,,,,,,,,Cité Universitaire,22,2026-04-17 07:10:02.043606+02:00
IVAN99,IVAN,Mitry - Claye,,,,2026-04-17 07:35:52+02:00,2026-04-17 07:39:03+02:00,2026-04-17 07:42:10+02:00,2026-04-17 07:44:06+02:00,2026-04-17 07:45:58+02:00,2026-04-17 07:48:48+02:00,2026-04-17 07:51:07+02:00,,,2026-04-17 07:55:38+02:00,2026-04-17 07:58:20+02:00,,,,2026-04-17 08:03:15+02:00,2026-04-17 08:05:06+02:00,,2026-04-17 08:08:07+02:00,2026-04-17 08:10:36+02:00,2026-04-17 08:12:26+02:00,2026-04-17 08:14:29+02:00,2026-04-17 08:16:16+02:00,2026-04-17 08:18:12+02:00,2026-04-17 08:21:02+02:00,2026-04-17 08:22:49+02:00,2026-04-17 08:24:23+02:00,2026-04-17 08:26:59+02:00,2026-04-17 08:29:00+02:00,2026-04-17 08:33:00+02:00,2026-04-17 08:38:10+02:00,2026-04-17 08:40:40+02:00,2026-04-17 08:43:50+02:00,2026-04-17 08:46:30+02:00,2026-04-17 08:48:40+02:00,2026-04-17 08:51:20+02:00,,,,,,2026-04-17 08:54:40+02:00,2026-04-17 08:57:30+02:00,2026-04-17 09:00:40+02:00,,Saint-Rémy-lès-Chevreuse,32,2026-04-17 07:10:02.043606+02:00
STIN46,STIN,Robinson,,2026-04-17 07:39:31+02:00,2026-04-17 07:37:46+02:00,,,,,,,,,,,,,,,,,,2026-04-17 07:35:49+02:00,2026-04-17 07:33:01+02:00,2026-04-17 07:31:23+02:00,2026-04-17 07:29:15+02:00,2026-04-17 07:27:19+02:00,2026-04-17 07:25:32+02:00,2026-04-17 07:22:54+02:00,2026-04-17 07:20:36+02:00,2026-04-17 07:19:01+02:00,2026-04-17 07:17:09+02:00,2026-04-17 07:14:47+02:00,2026-04-17 07:11:00+02:00,,,,,,,,,,,,,,,,Gare du Nord,14,2026-04-17 07:10:02.043606+02:00
