code_mission,direction,gare_depart,gare_destination,nb_arrets_mission
ELOI,Nord,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),25
EMMY,Nord,Orsay Ville,Aéroport Charles de Gaulle 2 (Terminal 2),33
EPAF,Nord,Saint-Rémy-lès-Chevreuse,Aéroport Charles de Gaulle 2 (Terminal 2),31
GUIZ,Nord,Massy - Palaiseau,Aulnay-sous-Bois,23
IDOR,Nord,Saint-Rémy-lès-Chevreuse,Mitry - Claye,38
IRUS,Nord,Massy - Palaiseau,Mitry - Claye,27
IVIS,Nord,Saint-Rémy-lès-Chevreuse,Mitry - Claye,33
KFON,Sud,Mitry - Claye,Massy-Palaiseau,28
KLAC,Sud,Mitry - Claye,Massy-Palaiseau,27
KOCQ,Sud,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,29
LORD,Sud,Aéroport Charles de Gaulle 2 (Terminal 2),Orsay-Ville,32
LORE,Sud,Aéroport CDG 1 (Terminal 3) - RER,Orsay-Ville,31
PAGE,Sud,Mitry - Claye,Saint-Rémy-lès-Chevreuse,31
PIER,Sud,Aéroport Charles de Gaulle 2 (Terminal 2),Saint-Rémy-lès-Chevreuse,31
PLAC,Sud,Mitry - Claye,Saint-Rémy-lès-Chevreuse,30
PPIT,Sud,Mitry - Claye,Saint-Rémy-lès-Chevreuse,34
SORI,Sud,Mitry - Claye,Robinson,24
STRI,Sud,Aéroport Charles de Gaulle 2 (Terminal 2),Robinson,25
ULMS,Sud,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,20
USER,Sud,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,28
