heure,direction,delta_sceaux_min,max_delta_sceaux,delta_antony_min,max_delta_antony,delta_bourg_la_reine_min,max_delta_bourg_la_reine,delta_chatelet_min,max_delta_chatelet,delta_aulnay_min,max_delta_aulnay,delta_cdg1_min,max_delta_cdg1,delta_vert_galant_min,max_delta_vert_galant
0.0,Sud,11.25,16.0,12.0,19.0,6.0,11.0,10.0,14.0,,,,,,
1.0,Sud,,,,,14.0,21.0,,,,,,,,
1.0,Sud,36.0,36.0,,,,,,,,,,,,
1.0,Sud,,,22.0,22.0,,,,,,,,,,
4.0,Sud,,,,,,,,,,,,,366.0,366.0
4.0,Sud,,,,,,,,,,,352.0,352.0,,
5.0,Nord,,,425.0,425.0,422.0,422.0,407.0,407.0,367.0,367.0,371.0,371.0,,
5.0,Sud,277.0,277.0,278.0,278.0,138.5,271.0,138.0,270.0,176.0,346.0,,,,
6.0,Nord,,,,,,,,,,,,,417.0,417.0
6.0,Nord,,,,,,,,,50.0,50.0,,,,
16.0,Nord,15.0,15.0,6.5,7.0,3.8,7.0,3.6,5.0,3.5,6.0,9.5,10.0,,
16.0,Sud,14.0,14.0,7.0,7.0,6.0,7.0,3.25,4.0,4.75,6.0,6.5,7.0,12.0,12.0
17.0,Nord,11.4,13.0,4.714285714285714,10.0,3.2777777777777777,6.0,3.4705882352941178,10.0,3.8125,16.0,6.444444444444445,20.0,8.0,23.0
17.0,Sud,13.0,20.0,4.642857142857143,11.0,3.2222222222222223,7.0,2.8636363636363638,9.0,4.142857142857143,7.0,6.1,10.0,12.25,13.0
18.0,Nord,12.0,12.0,3.933333333333333,9.0,3.0,7.0,2.857142857142857,8.0,2.95,6.0,7.875,16.0,5.818181818181818,12.0
18.0,Sud,12.0,16.0,3.8,7.0,2.85,6.0,3.1578947368421053,8.0,4.266666666666667,8.0,6.2,10.0,12.333333333333334,19.0
19.0,Nord,12.2,17.0,3.8666666666666667,8.0,2.95,8.0,3.15,5.0,2.8636363636363638,7.0,5.454545454545454,10.0,6.777777777777778,10.0
19.0,Sud,12.6,17.0,3.5294117647058822,11.0,2.6521739130434785,7.0,3.1,7.0,3.8666666666666667,8.0,6.625,10.0,11.6,17.0
20.0,Nord,12.8,15.0,8.142857142857142,15.0,4.6923076923076925,9.0,3.111111111111111,9.0,3.1052631578947367,5.0,5.454545454545454,13.0,5.6,8.0
20.0,Sud,11.0,16.0,4.769230769230769,8.0,3.176470588235294,7.0,4.461538461538462,9.0,5.0,7.0,8.25,12.0,13.25,15.0
21.0,Nord,15.0,16.0,7.5,10.0,4.916666666666667,9.0,4.916666666666667,7.0,4.357142857142857,7.0,8.333333333333334,14.0,10.2,15.0
21.0,Sud,15.0,16.0,7.375,10.0,5.0,9.0,4.916666666666667,8.0,5.0,9.0,7.5,9.0,15.0,15.0
22.0,Nord,15.0,15.0,7.333333333333333,12.0,5.0,10.0,5.454545454545454,10.0,4.769230769230769,10.0,9.571428571428571,15.0,16.75,20.0
22.0,Sud,11.8,15.0,6.111111111111111,9.0,4.0,8.0,5.2727272727272725,14.0,6.0,10.0,9.0,15.0,15.0,15.0
23.0,Nord,,,,,,,,,,,,,12.0,12.0
23.0,Nord,,,,,,,,,6.0,6.0,,,,
23.0,Nord,,,,,,,,,,,6.25,8.0,,
23.0,Sud,6.666666666666667,14.0,6.0,13.0,3.411764705882353,12.0,7.625,10.0,20.0,20.0,29.0,29.0,,
