mission,direction,heure_re_sceaux,delta_sceaux,heure_re_antony,delta_antony,heure_re_bourg_la_reine,delta_bourg_la_reine,heure_re_chatelet,delta_chatelet,heure_re_aulnay,delta_aulnay,heure_re_cdg1,delta_cdg1,heure_re_vert_galant,delta_vert_galant
GONG47,Nord,,,,,,,2026-04-17 07:10:21+02:00,,,,,,,
EAST49,Nord,,,,,,,2026-04-17 07:13:02+02:00,3.0,2026-04-17 07:36:34+02:00,6.0,2026-04-17 07:50:30+02:00,6.0,,
IVAN51,Nord,,,,,,,2026-04-17 07:16:25+02:00,3.0,2026-04-17 07:40:21+02:00,4.0,,,2026-04-17 07:46:31+02:00,16.0
ELFE53,Nord,,,,,,,2026-04-17 07:19:39+02:00,3.0,2026-04-17 07:43:06+02:00,3.0,2026-04-17 07:57:34+02:00,7.0,,
GSOL55,Nord,,,,,,,2026-04-17 07:23:10+02:00,4.0,,,,,,
EMIR57,Nord,,,,,,,2026-04-17 07:26:16+02:00,3.0,2026-04-17 07:51:00+02:00,8.0,2026-04-17 08:04:50+02:00,7.0,,
IVAN59,Nord,,,,,,,2026-04-17 07:28:49+02:00,3.0,2026-04-17 07:52:42+02:00,2.0,,,2026-04-17 07:58:52+02:00,12.0
ELFE61,Nord,,,,,2026-04-17 07:10:36+02:00,,2026-04-17 07:31:39+02:00,3.0,2026-04-17 07:55:02+02:00,2.0,2026-04-17 08:10:11+02:00,5.0,,
GUAD63,Nord,,,,,2026-04-17 07:13:57+02:00,3.0,2026-04-17 07:34:39+02:00,3.0,,,,,,
EMIR65,Nord,,,2026-04-17 07:12:20+02:00,,2026-04-17 07:16:57+02:00,3.0,2026-04-17 07:37:39+02:00,3.0,2026-04-17 08:02:27+02:00,7.0,2026-04-17 08:16:17+02:00,6.0,,
IVAN67,Nord,,,2026-04-17 07:15:30+02:00,3.0,2026-04-17 07:20:12+02:00,3.0,2026-04-17 07:41:14+02:00,4.0,2026-04-17 08:07:03+02:00,5.0,,,2026-04-17 08:13:13+02:00,14.0
ELFE69,Nord,2026-04-17 07:20:38+02:00,,,,2026-04-17 07:22:36+02:00,2.0,2026-04-17 07:44:29+02:00,3.0,2026-04-17 08:08:56+02:00,2.0,2026-04-17 08:22:46+02:00,6.0,,
GUAD71,Nord,,,2026-04-17 07:20:14+02:00,5.0,2026-04-17 07:25:57+02:00,3.0,2026-04-17 07:46:39+02:00,2.0,,,,,,
EMIR73,Nord,,,2026-04-17 07:25:25+02:00,5.0,2026-04-17 07:30:02+02:00,4.0,2026-04-17 07:50:44+02:00,4.0,2026-04-17 08:15:11+02:00,6.0,2026-04-17 08:29:01+02:00,6.0,,
IVAN75,Nord,,,2026-04-17 07:26:55+02:00,2.0,2026-04-17 07:32:26+02:00,2.0,2026-04-17 07:53:34+02:00,3.0,2026-04-17 08:17:37+02:00,2.0,,,2026-04-17 08:23:47+02:00,11.0
ELFE77,Nord,2026-04-17 07:32:38+02:00,12.0,,,2026-04-17 07:34:36+02:00,2.0,2026-04-17 07:55:55+02:00,2.0,2026-04-17 08:19:24+02:00,2.0,2026-04-17 08:33:14+02:00,4.0,,
GUAD79,Nord,,,2026-04-17 07:32:14+02:00,5.0,2026-04-17 07:37:57+02:00,3.0,2026-04-17 07:58:39+02:00,3.0,,,,,,
EMIR81,Nord,,,2026-04-17 07:36:20+02:00,4.0,2026-04-17 07:41:25+02:00,3.0,2026-04-17 08:02:07+02:00,3.0,2026-04-17 08:26:17+02:00,7.0,2026-04-17 08:40:07+02:00,7.0,,
