heure,direction,delta_sceaux_min,max_delta_sceaux,delta_antony_min,max_delta_antony,delta_bourg_la_reine_min,max_delta_bourg_la_reine,delta_chatelet_min,max_delta_chatelet,delta_aulnay_min,max_delta_aulnay,delta_cdg1_min,max_delta_cdg1,delta_vert_galant_min,max_delta_vert_galant
0.0,Sud,11.25,15.0,12.0,19.0,6.0,11.0,10.0,14.0,,,,,,
1.0,Sud,36.0,36.0,,,,,,,,,,,,
1.0,Sud,,,19.0,19.0,,,,,,,,,,
1.0,Sud,,,,,14.0,18.0,,,,,,,,
4.0,Sud,,,,,,,,,,,361.0,361.0,,
4.0,Sud,,,,,,,,,,,,,366.0,366.0
5.0,Nord,,,425.0,425.0,421.0,421.0,407.0,407.0,367.0,367.0,373.0,373.0,,
5.0,Sud,277.0,277.0,281.0,281.0,138.5,271.0,138.0,270.0,180.5,355.0,,,,
6.0,Nord,,,,,,,,,,,,,417.0,417.0
6.0,Nord,,,,,,,,,50.0,50.0,,,,
16.0,Nord,15.0,15.0,6.0,8.0,3.8,7.0,3.0,3.0,4.5,6.0,9.0,12.0,,
16.0,Sud,15.0,15.0,8.0,8.0,6.666666666666667,7.0,3.0,3.0,4.5,6.0,6.0,6.0,12.0,12.0
17.0,Nord,11.4,12.0,4.571428571428571,9.0,3.3333333333333335,7.0,3.0,3.0,3.0,3.0,6.0,6.0,7.2,15.0
17.0,Sud,12.2,13.0,4.642857142857143,13.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,6.0,12.0,12.0
18.0,Nord,12.0,12.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0
18.0,Sud,12.0,12.0,3.75,5.0,2.857142857142857,3.0,3.0,3.0,4.0,6.0,6.0,6.0,12.0,12.0
19.0,Nord,12.0,12.0,4.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,6.0,6.0,6.0,6.0
19.0,Sud,12.0,12.0,3.5294117647058822,5.0,2.7272727272727275,3.0,3.0,3.0,4.071428571428571,6.0,6.75,12.0,12.0,12.0
20.0,Nord,12.8,15.0,8.428571428571429,14.0,4.75,7.0,3.8,6.0,3.1578947368421053,6.0,6.0,6.0,6.0,6.0
20.0,Sud,11.8,14.0,5.166666666666667,8.0,3.6,7.0,4.75,6.0,5.0,6.0,8.25,12.0,13.5,15.0
21.0,Nord,15.0,15.0,7.5,8.0,5.0,7.0,5.0,6.0,5.0,6.0,10.2,15.0,13.5,15.0
21.0,Sud,15.0,15.0,7.5,9.0,5.0,8.0,5.0,6.0,5.0,6.0,7.25,8.0,15.0,15.0
22.0,Nord,15.0,15.0,7.333333333333333,8.0,5.0,7.0,5.545454545454546,10.0,4.6923076923076925,6.0,8.5,15.0,15.0,15.0
22.0,Sud,10.0,15.0,6.0,9.0,3.875,8.0,5.181818181818182,6.0,6.0,9.0,11.8,21.0,15.0,15.0
23.0,Nord,,,,,,,,,,,7.333333333333333,8.0,,
23.0,Nord,,,,,,,,,6.0,6.0,,,,
23.0,Nord,,,,,,,,,,,,,15.0,15.0
23.0,Sud,7.5,15.0,6.375,11.0,3.5294117647058822,11.0,7.5,9.0,12.0,12.0,,,,
