mission,direction,heure_th_sceaux,delta_sceaux,heure_th_antony,delta_antony,heure_th_bourg_la_reine,delta_bourg_la_reine,heure_th_chatelet,delta_chatelet,heure_th_aulnay,delta_aulnay,heure_th_cdg1,delta_cdg1,heure_th_vert_galant,delta_vert_galant
ELAN05,Nord,2026-04-16 05:03:38+02:00,,,,2026-04-16 05:05:56+02:00,,2026-04-16 05:26:00+02:00,,2026-04-16 05:48:10+02:00,21.0,2026-04-16 06:02:00+02:00,32.0,,
INCA07,Nord,,,2026-04-16 05:06:19+02:00,,2026-04-16 05:12:07+02:00,6.0,2026-04-16 05:32:00+02:00,6.0,2026-04-16 05:54:20+02:00,6.0,,,2026-04-16 06:00:30+02:00,27.0
ECCO09,Nord,,,2026-04-16 05:15:19+02:00,9.0,2026-04-16 05:21:07+02:00,9.0,2026-04-16 05:41:00+02:00,9.0,2026-04-16 06:03:10+02:00,9.0,2026-04-16 06:17:00+02:00,15.0,,
ICAR11,Nord,,,2026-04-16 05:23:49+02:00,9.0,2026-04-16 05:28:21+02:00,7.0,2026-04-16 05:44:00+02:00,3.0,2026-04-16 06:06:20+02:00,3.0,,,2026-04-16 06:12:30+02:00,12.0
ELAN13,Nord,2026-04-16 05:27:38+02:00,24.0,,,2026-04-16 05:29:41+02:00,1.0,2026-04-16 05:50:00+02:00,6.0,2026-04-16 06:12:10+02:00,6.0,2026-04-16 06:26:00+02:00,9.0,,
ECCO15,Nord,,,2026-04-16 05:29:49+02:00,6.0,2026-04-16 05:35:37+02:00,6.0,2026-04-16 05:56:00+02:00,6.0,2026-04-16 06:18:10+02:00,6.0,2026-04-16 06:32:00+02:00,6.0,,
ICAR17,Nord,,,2026-04-16 05:38:14+02:00,8.0,2026-04-16 05:42:46+02:00,7.0,2026-04-16 05:59:00+02:00,3.0,2026-04-16 06:21:20+02:00,3.0,,,2026-04-16 06:27:30+02:00,15.0
ELAN19,Nord,2026-04-16 05:42:38+02:00,15.0,,,2026-04-16 05:44:41+02:00,2.0,2026-04-16 06:05:00+02:00,6.0,2026-04-16 06:27:10+02:00,6.0,2026-04-16 06:44:00+02:00,12.0,,
ECCO21,Nord,,,2026-04-16 05:44:49+02:00,7.0,2026-04-16 05:50:37+02:00,6.0,2026-04-16 06:11:00+02:00,6.0,2026-04-16 06:33:10+02:00,6.0,2026-04-16 06:50:00+02:00,6.0,,
ICAR23,Nord,,,2026-04-16 05:53:24+02:00,9.0,2026-04-16 05:57:46+02:00,7.0,2026-04-16 06:14:00+02:00,3.0,2026-04-16 06:36:20+02:00,3.0,,,2026-04-16 06:42:30+02:00,15.0
ELAN25,Nord,2026-04-16 05:57:38+02:00,15.0,,,2026-04-16 05:59:41+02:00,2.0,2026-04-16 06:20:00+02:00,6.0,2026-04-16 06:42:10+02:00,6.0,2026-04-16 06:56:00+02:00,6.0,,
ECCO27,Nord,,,2026-04-16 05:59:49+02:00,6.0,2026-04-16 06:05:37+02:00,6.0,2026-04-16 06:26:00+02:00,6.0,2026-04-16 06:48:10+02:00,6.0,2026-04-16 07:02:00+02:00,6.0,,
ICAR29,Nord,,,2026-04-16 06:08:24+02:00,9.0,2026-04-16 06:12:46+02:00,7.0,2026-04-16 06:29:00+02:00,3.0,2026-04-16 06:51:20+02:00,3.0,,,2026-04-16 06:57:30+02:00,15.0
ELAN31,Nord,2026-04-16 06:12:38+02:00,15.0,,,2026-04-16 06:14:41+02:00,2.0,2026-04-16 06:35:00+02:00,6.0,2026-04-16 06:57:10+02:00,6.0,2026-04-16 07:14:00+02:00,12.0,,
ECCO33,Nord,,,2026-04-16 06:14:49+02:00,6.0,2026-04-16 06:20:37+02:00,6.0,2026-04-16 06:41:00+02:00,6.0,2026-04-16 07:03:10+02:00,6.0,2026-04-16 07:20:00+02:00,6.0,,
ICAR35,Nord,,,2026-04-16 06:23:24+02:00,9.0,2026-04-16 06:27:46+02:00,7.0,2026-04-16 06:44:00+02:00,3.0,2026-04-16 07:06:20+02:00,3.0,,,2026-04-16 07:12:30+02:00,15.0
ELAN37,Nord,2026-04-16 06:27:38+02:00,15.0,,,2026-04-16 06:29:41+02:00,2.0,2026-04-16 06:50:00+02:00,6.0,2026-04-16 07:12:10+02:00,6.0,2026-04-16 07:26:00+02:00,6.0,,
ECCO39,Nord,,,2026-04-16 06:29:49+02:00,6.0,2026-04-16 06:35:37+02:00,6.0,2026-04-16 06:56:00+02:00,6.0,2026-04-16 07:18:10+02:00,6.0,2026-04-16 07:32:00+02:00,6.0,,
ISOL41,Nord,,,2026-04-16 06:34:30+02:00,5.0,2026-04-16 06:38:47+02:00,3.0,2026-04-16 06:59:00+02:00,3.0,2026-04-16 07:21:20+02:00,3.0,,,2026-04-16 07:27:30+02:00,15.0
