mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
ILUS29,ILUS,Mitry - Claye,2026-04-15 12:50:33+02:00,2026-04-15 12:52:54+02:00,2026-04-15 12:54:33+02:00,,,,,,,,,,,,,,,,,,2026-04-15 12:56:26+02:00,2026-04-15 12:59:06+02:00,2026-04-15 13:00:46+02:00,2026-04-15 13:02:49+02:00,2026-04-15 13:04:36+02:00,2026-04-15 13:06:12+02:00,2026-04-15 13:08:42+02:00,2026-04-15 13:10:59+02:00,2026-04-15 13:12:33+02:00,2026-04-15 13:14:39+02:00,2026-04-15 13:16:49+02:00,2026-04-15 13:21:00+02:00,2026-04-15 13:26:10+02:00,2026-04-15 13:28:40+02:00,2026-04-15 13:31:50+02:00,2026-04-15 13:34:30+02:00,2026-04-15 13:36:40+02:00,2026-04-15 13:39:20+02:00,,,,,,2026-04-15 13:42:40+02:00,2026-04-15 13:45:30+02:00,2026-04-15 13:48:40+02:00,,Robinson,24,2026-04-15 12:00:02.196211+02:00
ERIC89,ERIC,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:09:30+02:00,,,,,,Aéroport CDG 1 (Terminal 3) - RER,1,2026-04-15 12:00:02.196211+02:00
ERIO07,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,2026-04-15 12:00:28+02:00,2026-04-15 12:02:17+02:00,2026-04-15 12:05:06+02:00,2026-04-15 12:06:46+02:00,2026-04-15 12:08:49+02:00,2026-04-15 12:10:36+02:00,2026-04-15 12:12:12+02:00,2026-04-15 12:14:42+02:00,2026-04-15 12:16:59+02:00,2026-04-15 12:18:33+02:00,2026-04-15 12:20:39+02:00,2026-04-15 12:22:49+02:00,2026-04-15 12:27:00+02:00,,,,,,2026-04-15 12:42:10+02:00,,,,2026-04-15 12:54:30+02:00,,,,,,Parc de Sceaux,15,2026-04-15 12:00:02.196211+02:00
ILOT87,ILOT,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:03:40+02:00,,Villeparisis - Mitry-le-Neuf,1,2026-04-15 12:00:02.196211+02:00
KALI30,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-15 13:42:13+02:00,2026-04-15 13:40:29+02:00,2026-04-15 13:39:05+02:00,2026-04-15 13:37:00+02:00,2026-04-15 13:35:20+02:00,2026-04-15 13:33:41+02:00,2026-04-15 13:31:44+02:00,2026-04-15 13:29:21+02:00,2026-04-15 13:27:43+02:00,2026-04-15 13:25:45+02:00,2026-04-15 13:23:59+02:00,2026-04-15 13:22:02+02:00,2026-04-15 13:19:14+02:00,2026-04-15 13:17:26+02:00,2026-04-15 13:15:51+02:00,2026-04-15 13:13:29+02:00,2026-04-15 13:11:07+02:00,2026-04-15 13:08:00+02:00,,,,,,2026-04-15 12:51:20+02:00,,,,2026-04-15 12:39:20+02:00,2026-04-15 12:36:30+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),21,2026-04-15 12:00:02.196211+02:00
KALI24,KALI,Massy-Palaiseau,,,,,,,,,,,,,,,2026-04-15 13:27:13+02:00,2026-04-15 13:25:29+02:00,2026-04-15 13:24:05+02:00,2026-04-15 13:22:00+02:00,2026-04-15 13:20:20+02:00,2026-04-15 13:18:41+02:00,2026-04-15 13:16:44+02:00,2026-04-15 13:14:21+02:00,2026-04-15 13:12:43+02:00,2026-04-15 13:10:45+02:00,2026-04-15 13:08:59+02:00,2026-04-15 13:07:02+02:00,2026-04-15 13:04:14+02:00,2026-04-15 13:02:26+02:00,2026-04-15 13:00:51+02:00,2026-04-15 12:58:29+02:00,2026-04-15 12:56:07+02:00,2026-04-15 12:53:00+02:00,,,,,,2026-04-15 12:36:50+02:00,,,,2026-04-15 12:24:20+02:00,2026-04-15 12:21:30+02:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),21,2026-04-15 12:00:02.196211+02:00
ERIO19,ERIO,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,2026-04-15 12:19:35+02:00,2026-04-15 12:21:40+02:00,2026-04-15 12:23:28+02:00,2026-04-15 12:24:53+02:00,2026-04-15 12:26:49+02:00,2026-04-15 12:28:40+02:00,2026-04-15 12:30:28+02:00,2026-04-15 12:32:17+02:00,2026-04-15 12:35:06+02:00,2026-04-15 12:36:46+02:00,2026-04-15 12:38:49+02:00,2026-04-15 12:40:36+02:00,2026-04-15 12:42:12+02:00,2026-04-15 12:44:42+02:00,2026-04-15 12:46:59+02:00,2026-04-15 12:48:33+02:00,2026-04-15 12:50:39+02:00,2026-04-15 12:52:49+02:00,2026-04-15 12:57:00+02:00,,,,,,2026-04-15 13:12:10+02:00,,,,2026-04-15 13:24:30+02:00,,,,,,Massy - Palaiseau,21,2026-04-15 12:00:02.196211+02:00
EPAF85,EPAF,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:01:50+02:00,,,,,,Aéroport CDG 1 (Terminal 3) - RER,1,2026-04-15 12:00:02.196211+02:00
EPAF97,EPAF,Aéroport Charles de Gaulle 2 (Terminal 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2026-04-15 12:02:15+02:00,2026-04-15 12:07:25+02:00,2026-04-15 12:09:55+02:00,2026-04-15 12:13:05+02:00,2026-04-15 12:15:45+02:00,2026-04-15 12:17:55+02:00,2026-04-15 12:20:25+02:00,2026-04-15 12:23:35+02:00,2026-04-15 12:26:05+02:00,2026-04-15 12:28:25+02:00,2026-04-15 12:34:05+02:00,,,,,,Gare du Nord,11,2026-04-15 12:00:02.196211+02:00
ILUS05,ILUS,Mitry - Claye,,,,,,,,,,,,,,,,,,,,,,2026-04-15 11:59:49+02:00,2026-04-15 12:01:29+02:00,2026-04-15 12:03:32+02:00,2026-04-15 12:05:19+02:00,2026-04-15 12:06:55+02:00,2026-04-15 12:09:25+02:00,2026-04-15 12:11:42+02:00,2026-04-15 12:13:16+02:00,2026-04-15 12:15:22+02:00,2026-04-15 12:17:32+02:00,2026-04-15 12:21:43+02:00,2026-04-15 12:26:53+02:00,2026-04-15 12:29:23+02:00,2026-04-15 12:32:33+02:00,2026-04-15 12:35:13+02:00,2026-04-15 12:37:23+02:00,2026-04-15 12:40:03+02:00,,,,,,2026-04-15 12:43:23+02:00,2026-04-15 12:46:13+02:00,2026-04-15 12:49:23+02:00,,Bagneux,20,2026-04-15 12:00:02.196211+02:00
