geo_point_2d;geo_shape;objectid_1;id_gares;nom_gares;nom_so_gar;nom_su_gar;id_ref_zdc;nom_zdc;id_ref_zda;nom_zda;idrefliga;idrefligc;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;idf;principal;x;y;picto;nom_iv
48.78031379639699, 2.312307716888594;"{""coordinates"": [2.312307716888594, 48.78031379639699], ""type"": ""Point""}";5;102;Bourg-la-Reine;;;70033;Bourg-la-Reine;43097;Bourg-la-Reine;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;649468.2085;6853577.9767;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Bourg-la-Reine
48.81522993471633, 2.340891132444595;"{""coordinates"": [2.340891132444595, 48.81522993471633], ""type"": ""Point""}";98;327;Gentilly;;;70543;Gentilly;45877;Gentilly;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;651600.8804;6857442.2267;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Gentilly
48.698196976301936, 2.136566717058361;"{""coordinates"": [2.136566717058361, 48.698196976301936], ""type"": ""Point""}";99;330;Gif-sur-Yvette;;;62890;Gif-sur-Yvette;47888;Gare de Gif-sur-Yvette;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;636455.3481;6844575.3205;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Gif-sur-Yvette
48.92435387966093, 2.386388291064694;"{""coordinates"": [2.386388291064694, 48.92435387966093], ""type"": ""Point""}";139;34;La Courneuve-Aubervilliers;;;72598;La Courneuve - Aubervilliers;43140;La Courneuve - Aubervilliers;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;655036.0121;6869549.1208;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;La Courneuve-Aubervilliers
48.69750567080332, 2.1810544390412185;"{""coordinates"": [2.181054439041219, 48.69750567080332], ""type"": ""Point""}";243;612;Orsay-Ville;;;62892;Orsay Ville;43086;Orsay Ville;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;639728.5187;6844463.5866;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Orsay-Ville
48.840033787418086, 2.3370964308800906;"{""coordinates"": [2.337096430880091, 48.840033787418086], ""type"": ""Point""}";256;680;Port Royal;;;71106;Port Royal;44500;Port Royal;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;651345.3912;6860202.4553;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Port Royal
48.88175948915267, 2.357570193470877;"{""coordinates"": [2.357570193470877, 48.88175948915267], ""type"": ""Point""}";419;309;Gare du Nord;;;71410;Gare du Nord;462394;Magenta;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;1;652885.8018;6864829.5892;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Gare du Nord
48.86182227279812, 2.3470126872387564;"{""coordinates"": [2.347012687238756, 48.86182227279812], ""type"": ""Point""}";78;164;Châtelet-Les Halles;;;474151;Châtelet les Halles;45102;Châtelet les Halles;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;1;652093.2251;6862619.0666;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Châtelet-Les Halles
48.695264122108014, 2.151642038623571;"{""coordinates"": [2.151642038623571, 48.695264122108014], ""type"": ""Point""}";169;401;La Hacquinière;;;62825;La Hacquinière;47046;La Hacquinière;A01857;C01743;RER B;B;RER;0;0;0;0;0;RATP;1;0;637561.275;6844237.2403;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;La Hacquinière
48.93073957031752, 2.4257914255599538;"{""coordinates"": [2.425791425559954, 48.93073957031752], ""type"": ""Point""}";175;427;Le Bourget;;;72641;Le Bourget;43231;Le Bourget;A01857;C01743;RER B;B;RER;0;0;0;0;0;SNCF;1;0;657928.49;6870237.4878;https://data.iledefrance-mobilites.fr/api/explore/v2.1/catalog/datasets/emplacement-des-gares-idf/files/f0ebdb0b87223739c9f1195e894671c1;Le Bourget
