mission,type_mission,destination,Robinson,Fontenay-aux-Roses,Sceaux,Saint-Rémy-lès-Chevreuse,Courcelle sur Yvette,Gif-sur-Yvette,La Hacquinière,Bures-sur-Yvette,Orsay Ville,Le Guichet,Lozère,Palaiseau - Villebon,Palaiseau,Massy - Palaiseau,Massy - Verrières,Les Baconnets,Fontaine Michalon,Antony,La Croix de Berny,Parc de Sceaux,Bourg-la-Reine,Bagneux,Arcueil - Cachan,Laplace,Gentilly,Cité Universitaire,Denfert-Rochereau,Port Royal,Luxembourg,Saint-Michel Notre-Dame,Châtelet les Halles,Gare du Nord,La Plaine Stade de France,La Courneuve - Aubervilliers,Le Bourget,Drancy,Le Blanc-Mesnil,Aulnay-sous-Bois,Sevran Beaudottes,Villepinte,Parc des Expositions,Aéroport CDG 1 (Terminal 3) - RER,Aéroport Charles de Gaulle 2 (Terminal 2),Sevran - Livry,Vert Galant,Villeparisis - Mitry-le-Neuf,Mitry - Claye,gare_depart,nb_arrets_desservis,date_observation
PAUL72,PAUL,Saint-Rémy-lès-Chevreuse,,,,,2026-03-26 08:43:18+01:00,2026-03-26 08:40:10+01:00,2026-03-26 08:38:12+01:00,2026-03-26 08:36:20+01:00,2026-03-26 08:34:23+01:00,2026-03-26 08:32:00+01:00,,,,2026-03-26 08:26:09+01:00,,,,2026-03-26 08:19:34+01:00,2026-03-26 08:17:39+01:00,,2026-03-26 08:14:44+01:00,2026-03-26 08:12:01+01:00,2026-03-26 08:10:13+01:00,2026-03-26 08:08:05+01:00,2026-03-26 08:06:09+01:00,2026-03-26 08:04:27+01:00,2026-03-26 08:01:54+01:00,2026-03-26 07:59:36+01:00,2026-03-26 07:58:01+01:00,2026-03-26 07:56:09+01:00,2026-03-26 07:53:47+01:00,2026-03-26 07:50:00+01:00,2026-03-26 07:44:20+01:00,,,,,,,,,,,,,,,La Plaine Stade de France,22,2026-03-26 07:43:25.450499+01:00
STIN86,STIN,Robinson,,2026-03-26 08:39:31+01:00,2026-03-26 08:37:46+01:00,,,,,,,,,,,,,,,,,,2026-03-26 08:35:49+01:00,2026-03-26 08:33:01+01:00,2026-03-26 08:31:23+01:00,2026-03-26 08:29:15+01:00,2026-03-26 08:27:19+01:00,2026-03-26 08:25:32+01:00,2026-03-26 08:22:54+01:00,2026-03-26 08:20:36+01:00,2026-03-26 08:19:01+01:00,2026-03-26 08:17:09+01:00,2026-03-26 08:14:47+01:00,2026-03-26 08:11:00+01:00,2026-03-26 08:05:20+01:00,2026-03-26 08:02:30+01:00,2026-03-26 07:59:00+01:00,2026-03-26 07:56:10+01:00,2026-03-26 07:54:00+01:00,2026-03-26 07:51:50+01:00,2026-03-26 07:48:10+01:00,2026-03-26 07:45:20+01:00,2026-03-26 07:43:20+01:00,,,,,,,Parc des Expositions,23,2026-03-26 07:43:25.450499+01:00
LORD16,LORD,Orsay-Ville,,,,,,,,,,2026-03-26 09:40:38+01:00,2026-03-26 09:38:17+01:00,2026-03-26 09:35:24+01:00,2026-03-26 09:33:19+01:00,2026-03-26 09:30:52+01:00,,2026-03-26 09:26:43+01:00,2026-03-26 09:24:59+01:00,2026-03-26 09:22:44+01:00,2026-03-26 09:20:49+01:00,,2026-03-26 09:17:54+01:00,2026-03-26 09:15:11+01:00,2026-03-26 09:13:23+01:00,2026-03-26 09:11:15+01:00,2026-03-26 09:09:19+01:00,2026-03-26 09:07:32+01:00,2026-03-26 09:04:54+01:00,2026-03-26 09:02:36+01:00,2026-03-26 09:01:01+01:00,2026-03-26 08:59:09+01:00,2026-03-26 08:56:47+01:00,2026-03-26 08:53:00+01:00,2026-03-26 08:47:20+01:00,2026-03-26 08:44:30+01:00,2026-03-26 08:41:00+01:00,2026-03-26 08:38:10+01:00,2026-03-26 08:36:00+01:00,2026-03-26 08:33:50+01:00,2026-03-26 08:30:10+01:00,2026-03-26 08:27:20+01:00,2026-03-26 08:25:20+01:00,2026-03-26 08:20:00+01:00,2026-03-26 08:12:50+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),32,2026-03-26 07:43:25.450499+01:00
KLAC10,KLAC,Massy-Palaiseau,,,,,,,,,,,,,,,2026-03-26 09:19:12+01:00,2026-03-26 09:17:23+01:00,,2026-03-26 09:14:35+01:00,2026-03-26 09:12:40+01:00,2026-03-26 09:10:46+01:00,2026-03-26 09:08:54+01:00,2026-03-26 09:06:11+01:00,2026-03-26 09:04:23+01:00,2026-03-26 09:02:15+01:00,2026-03-26 09:00:19+01:00,2026-03-26 08:58:32+01:00,2026-03-26 08:55:54+01:00,2026-03-26 08:53:36+01:00,2026-03-26 08:52:01+01:00,2026-03-26 08:50:09+01:00,2026-03-26 08:47:47+01:00,2026-03-26 08:44:00+01:00,2026-03-26 08:38:20+01:00,2026-03-26 08:35:30+01:00,2026-03-26 08:32:00+01:00,2026-03-26 08:29:10+01:00,2026-03-26 08:27:00+01:00,2026-03-26 08:24:50+01:00,,,,,,2026-03-26 08:21:10+01:00,2026-03-26 08:18:00+01:00,2026-03-26 08:14:50+01:00,2026-03-26 08:11:00+01:00,Mitry - Claye,27,2026-03-26 07:43:25.450499+01:00
PAGE14,PAGE,Saint-Rémy-lès-Chevreuse,,,,,2026-03-26 09:43:18+01:00,2026-03-26 09:40:10+01:00,2026-03-26 09:38:12+01:00,2026-03-26 09:36:20+01:00,2026-03-26 09:34:23+01:00,2026-03-26 09:32:00+01:00,,,,2026-03-26 09:26:09+01:00,,,,2026-03-26 09:19:34+01:00,2026-03-26 09:17:39+01:00,,2026-03-26 09:14:44+01:00,2026-03-26 09:12:01+01:00,2026-03-26 09:10:13+01:00,2026-03-26 09:08:05+01:00,2026-03-26 09:06:09+01:00,2026-03-26 09:04:27+01:00,2026-03-26 09:01:54+01:00,2026-03-26 08:59:36+01:00,2026-03-26 08:58:01+01:00,2026-03-26 08:56:09+01:00,2026-03-26 08:53:47+01:00,2026-03-26 08:50:00+01:00,2026-03-26 08:44:20+01:00,2026-03-26 08:41:30+01:00,2026-03-26 08:38:00+01:00,2026-03-26 08:35:10+01:00,2026-03-26 08:33:00+01:00,2026-03-26 08:30:50+01:00,,,,,,2026-03-26 08:27:10+01:00,2026-03-26 08:24:00+01:00,2026-03-26 08:20:50+01:00,2026-03-26 08:17:00+01:00,Mitry - Claye,31,2026-03-26 07:43:25.450499+01:00
LORE82,LORE,Orsay-Ville,,,,,,,,,,2026-03-26 08:52:38+01:00,2026-03-26 08:50:17+01:00,2026-03-26 08:47:24+01:00,2026-03-26 08:45:19+01:00,2026-03-26 08:42:52+01:00,,2026-03-26 08:38:43+01:00,2026-03-26 08:36:59+01:00,2026-03-26 08:34:44+01:00,2026-03-26 08:32:49+01:00,,2026-03-26 08:29:54+01:00,2026-03-26 08:27:11+01:00,2026-03-26 08:25:23+01:00,2026-03-26 08:23:15+01:00,2026-03-26 08:21:19+01:00,2026-03-26 08:19:32+01:00,2026-03-26 08:16:54+01:00,2026-03-26 08:14:36+01:00,2026-03-26 08:13:01+01:00,2026-03-26 08:11:09+01:00,2026-03-26 08:08:47+01:00,2026-03-26 08:05:00+01:00,2026-03-26 07:59:20+01:00,2026-03-26 07:56:30+01:00,2026-03-26 07:53:00+01:00,2026-03-26 07:50:10+01:00,2026-03-26 07:48:00+01:00,2026-03-26 07:45:50+01:00,,,,,,,,,,Aulnay-sous-Bois,27,2026-03-26 07:43:25.450499+01:00
STRI20,STRI,Robinson,,2026-03-26 09:27:31+01:00,2026-03-26 09:25:46+01:00,,,,,,,,,,,,,,,,,,2026-03-26 09:23:49+01:00,2026-03-26 09:21:01+01:00,2026-03-26 09:19:23+01:00,2026-03-26 09:17:15+01:00,2026-03-26 09:15:19+01:00,2026-03-26 09:13:32+01:00,2026-03-26 09:10:54+01:00,2026-03-26 09:08:36+01:00,2026-03-26 09:07:01+01:00,2026-03-26 09:05:09+01:00,2026-03-26 09:02:47+01:00,2026-03-26 08:59:00+01:00,2026-03-26 08:53:20+01:00,2026-03-26 08:50:30+01:00,2026-03-26 08:47:00+01:00,2026-03-26 08:44:10+01:00,2026-03-26 08:42:00+01:00,2026-03-26 08:39:50+01:00,2026-03-26 08:36:10+01:00,2026-03-26 08:33:20+01:00,2026-03-26 08:31:20+01:00,2026-03-26 08:26:00+01:00,2026-03-26 08:18:50+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),25,2026-03-26 07:43:25.450499+01:00
LORD08,LORD,Orsay-Ville,,,,,,,,,,2026-03-26 09:28:38+01:00,2026-03-26 09:26:17+01:00,2026-03-26 09:23:24+01:00,2026-03-26 09:21:19+01:00,2026-03-26 09:18:52+01:00,,2026-03-26 09:14:43+01:00,2026-03-26 09:12:59+01:00,2026-03-26 09:10:44+01:00,2026-03-26 09:08:49+01:00,,2026-03-26 09:05:54+01:00,2026-03-26 09:03:11+01:00,2026-03-26 09:01:23+01:00,2026-03-26 08:59:15+01:00,2026-03-26 08:57:19+01:00,2026-03-26 08:55:32+01:00,2026-03-26 08:52:54+01:00,2026-03-26 08:50:36+01:00,2026-03-26 08:49:01+01:00,2026-03-26 08:47:09+01:00,2026-03-26 08:44:47+01:00,2026-03-26 08:41:00+01:00,2026-03-26 08:35:20+01:00,2026-03-26 08:32:30+01:00,2026-03-26 08:29:00+01:00,2026-03-26 08:26:10+01:00,2026-03-26 08:24:00+01:00,2026-03-26 08:21:50+01:00,2026-03-26 08:18:10+01:00,2026-03-26 08:15:20+01:00,2026-03-26 08:13:20+01:00,2026-03-26 08:08:00+01:00,2026-03-26 08:00:50+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),32,2026-03-26 07:43:25.450499+01:00
PAUL56,PAUL,Saint-Rémy-lès-Chevreuse,,,,,2026-03-26 08:19:18+01:00,2026-03-26 08:16:10+01:00,2026-03-26 08:14:12+01:00,2026-03-26 08:12:20+01:00,2026-03-26 08:10:23+01:00,2026-03-26 08:08:00+01:00,,,,2026-03-26 08:02:09+01:00,,,,2026-03-26 07:55:34+01:00,2026-03-26 07:53:39+01:00,,2026-03-26 07:50:44+01:00,2026-03-26 07:48:01+01:00,2026-03-26 07:46:13+01:00,2026-03-26 07:44:05+01:00,2026-03-26 07:42:09+01:00,,,,,,,,,,,,,,,,,,,,,,,Gentilly,14,2026-03-26 07:43:25.450499+01:00
USER24,USER,Laplace,,,,,,,,,,,,,,,,,,,,,,,,,2026-03-26 09:21:09+01:00,2026-03-26 09:19:27+01:00,2026-03-26 09:16:54+01:00,2026-03-26 09:14:36+01:00,2026-03-26 09:13:01+01:00,2026-03-26 09:11:09+01:00,2026-03-26 09:08:47+01:00,2026-03-26 09:05:00+01:00,2026-03-26 08:59:20+01:00,2026-03-26 08:56:30+01:00,2026-03-26 08:53:00+01:00,2026-03-26 08:50:10+01:00,2026-03-26 08:48:00+01:00,2026-03-26 08:45:50+01:00,2026-03-26 08:42:10+01:00,2026-03-26 08:39:20+01:00,2026-03-26 08:37:20+01:00,2026-03-26 08:32:00+01:00,2026-03-26 08:24:50+01:00,,,,,Aéroport Charles de Gaulle 2 (Terminal 2),19,2026-03-26 07:43:25.450499+01:00
